id,displayName,category,companyIds,voucherTypes,tags,url
chain-syabuyo,しゃぶ葉,飲食,comp-skylark,食事,しゃぶしゃぶ,https://www.syabu-yo.com/
chain-kappasushi,かっぱ寿司,飲食,comp-colowide,食事,寿司,https://www.kappasushi.jp/
chain-miya,ステーキ宮,飲食,comp-colowide,食事,ステーキ,https://www.miya.com/
chain-lapausa,ラパウザ,飲食,comp-colowide,食事,洋食,https://www.lapausa.jp/
chain-isomaru,磯丸水産,飲食,"comp-createrestaurants,comp-sfp",食事,海鮮,https://isomaru.jp/
chain-sports-depo,スポーツデポ,その他,comp-alpen-group,買い物,スポーツ,https://store.alpen-group.jp/Form/RealShop/ShopList.aspx
chain-moussy,MOUSSY,その他,comp-baroque-global,買い物,ファッション,
chain-azul,AZUL,その他,comp-baroque-global,買い物,ファッション,
chain-sheltter,SHEL'TTER,その他,comp-baroque-global,買い物,ファッション,
chain-biccamera,ビックカメラ,その他,"comp-kojima,comp-biccamera",買い物,家電,https://www.biccamera.com/bc/i/shop/shoplist/index.jsp
chain-kojima,コジマ,買い物,"comp-kojima,comp-biccamera",,家電,
